,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
3469,3,1324,1039,ACA,4067.0,1982.1,5333.1
3473,3,1328,959,ACA,4205.8,2774.1,5494.5
3478,3,1333,1043,ACA,4059.7,1943.4,5325.8
3479,3,1335,938,ACA,4219.8,2967.3,5553.7
3484,3,1340,1018,ACA,4081.0,2175.2,5392.3
3486,3,1342,1007,ACA,4125.6,2291.2,5391.7
3488,3,1344,981,ACA,4139.2,2542.3,5473.2
3491,3,1347,975,ACA,4161.5,2600.3,5472.9
3492,3,1348,998,ACA,4132.6,2387.7,5421.3
3496,3,1352,1034,ACA,4051.7,2020.7,5363.0
3499,3,1355,1002,ACA,4125.3,2349.1,5414.0
3504,3,1360,1000,ACA,4140.2,2368.4,5406.3
3507,3,1363,1058,ACA,4030.4,1788.9,5296.5
3508,3,1364,1040,ACA,4029.4,1962.7,5363.4
3511,3,1367,1039,ACA,4067.0,1982.1,5333.1
3516,3,1372,1001,ACA,4102.6,2349.1,5436.6
3517,3,1373,1037,ACA,4059.4,2001.4,5348.1
3518,3,1374,915,ACA,4263.7,3199.1,5597.6
3519,3,1375,1007,ACA,4125.6,2291.2,5391.7
3520,3,1376,1002,ACA,4125.3,2349.1,5414.0
3521,3,1377,977,ACA,4146.6,2580.9,5480.5
3526,3,1382,1012,ACA,4080.7,2233.2,5414.6
3529,3,1385,960,ACA,4190.8,2754.8,5502.1
3530,3,1386,969,ACA,4198.8,2677.5,5464.9
3532,3,1388,939,ACA,4242.4,2967.3,5531.1
3533,3,1389,992,ACA,4154.9,2445.7,5420.9
3534,3,1390,965,ACA,4206.1,2716.2,5472.2
3541,3,1397,1005,ACA,4095.3,2310.5,5429.3
3542,3,1398,1047,ACA,4014.8,1885.5,5348.7
3544,3,1400,1039,ACA,4067.0,1982.1,5333.1
3546,3,1402,976,ACA,4184.2,2600.3,5450.2
3549,3,1405,957,ACA,4220.8,2793.4,5486.8
3552,3,1408,1016,ACA,4073.4,2194.6,5407.3
3554,3,1410,1027,ACA,4089.0,2098.0,5355.1
3557,3,1413,1058,ACA,4030.4,1788.9,5296.5
3558,3,1414,1002,ACA,4125.3,2349.1,5414.0
3560,3,1416,974,ACA,4176.5,2619.6,5465.2
3561,3,1417,931,ACA,4234.4,3044.6,5568.4
3562,3,1418,976,ACA,4184.2,2600.3,5450.2
3564,3,1420,915,ACA,4263.7,3199.1,5597.6
3565,3,1422,938,ACA,4219.8,2967.3,5553.7
3566,3,1423,972,ACA,4191.5,2638.9,5457.5
3572,3,1429,1016,ACA,4073.4,2194.6,5407.3
3574,3,1431,1044,ACA,4022.1,1924.1,5356.1
3575,3,1432,939,ACA,4242.4,2967.3,5531.1
3577,3,1434,1050,ACA,4045.1,1866.1,5311.1
3578,3,1435,1051,ACA,4007.5,1846.8,5341.4
3579,3,1436,1042,ACA,4037.1,1943.4,5348.4
3580,3,1437,1007,ACA,4125.6,2291.2,5391.7
3581,3,1438,953,ACA,4228.1,2832.1,5494.2
3584,3,1441,1008,ACA,4088.0,2271.8,5421.9
3586,3,1443,1007,ACA,4125.6,2291.2,5391.7
3593,3,1451,1043,ACA,4059.7,1943.4,5325.8
3597,3,1455,977,ACA,4146.6,2580.9,5480.5
3601,3,1459,981,ACA,4139.2,2542.3,5473.2
3603,3,1461,1054,ACA,4037.8,1827.5,5303.8
3605,3,1463,996,ACA,4147.6,2407.1,5413.6
3606,3,1464,1055,ACA,4000.2,1808.2,5334.1
3608,3,1466,915,ACA,4263.7,3199.1,5597.6
3610,3,1468,966,ACA,4168.5,2696.8,5502.5
3612,3,1470,1016,ACA,4073.4,2194.6,5407.3
3614,3,1472,957,ACA,4220.8,2793.4,5486.8
3624,3,1482,977,ACA,4146.6,2580.9,5480.5
3629,3,1487,977,ACA,4146.6,2580.9,5480.5
3632,3,1490,938,ACA,4219.8,2967.3,5553.7
3633,3,1491,993,ACA,4117.3,2426.4,5451.2
3636,3,1494,976,ACA,4184.2,2600.3,5450.2
3643,3,1501,1028,ACA,4051.4,2078.7,5385.3
3646,3,1504,970,ACA,4161.2,2658.2,5495.1
3647,3,1505,933,ACA,4264.7,3025.3,5530.8
3652,3,1510,1006,ACA,4118.0,2310.5,5406.6
3656,3,1514,1043,ACA,4059.7,1943.4,5325.8
3657,3,1515,1055,ACA,4000.2,1808.2,5334.1
3661,3,1519,993,ACA,4117.3,2426.4,5451.2
3663,3,1521,1011,ACA,4118.3,2252.5,5384.3
3666,3,1525,1046,ACA,4052.4,1904.8,5318.5
3671,3,1530,1043,ACA,4059.7,1943.4,5325.8
3676,3,1535,949,ACA,4235.4,2870.7,5501.5
3678,3,1537,980,ACA,4176.8,2561.6,5442.9
3680,3,1539,1055,ACA,4000.2,1808.2,5334.1
3681,3,1540,939,ACA,4242.4,2967.3,5531.1
3688,3,1549,1014,ACA,4088.3,2213.9,5399.7
3689,3,1550,1052,ACA,4030.1,1846.8,5318.8
3691,3,1552,1034,ACA,4051.7,2020.7,5363.0
3694,3,1555,1007,ACA,4125.6,2291.2,5391.7
3704,3,1565,1013,ACA,4103.3,2233.2,5392.0
3711,3,1572,1050,ACA,4045.1,1866.1,5311.1
3712,3,1573,1040,ACA,4029.4,1962.7,5363.4
3714,3,1575,933,ACA,4264.7,3025.3,5530.8
3717,3,1578,984,ACA,4169.5,2523.0,5435.6
3720,3,1581,1052,ACA,4030.1,1846.8,5318.8
3723,3,1584,1039,ACA,4067.0,1982.1,5333.1
3728,3,1589,967,ACA,4191.2,2696.8,5479.8
3732,3,1593,984,ACA,4169.5,2523.0,5435.6
3734,3,1595,985,ACA,4131.9,2503.7,5465.9
3739,3,1600,972,ACA,4191.5,2638.9,5457.5
3740,3,1601,991,ACA,4132.3,2445.7,5443.6
3741,3,1602,976,ACA,4184.2,2600.3,5450.2
3742,3,1603,962,ACA,4175.8,2735.5,5509.8
3744,3,1605,965,ACA,4206.1,2716.2,5472.2
3746,3,1607,972,ACA,4191.5,2638.9,5457.5
3754,3,1616,1043,ACA,4059.7,1943.4,5325.8
3755,3,1617,984,ACA,4169.5,2523.0,5435.6
3756,3,1618,933,ACA,4264.7,3025.3,5530.8
3757,3,1619,1058,ACA,4030.4,1788.9,5296.5
3759,3,1621,1014,ACA,4088.3,2213.9,5399.7
3760,3,1622,1001,ACA,4102.6,2349.1,5436.6
3764,3,1626,1002,ACA,4125.3,2349.1,5414.0
3766,3,1628,932,ACA,4257.0,3044.6,5545.7
3767,3,1629,1012,ACA,4080.7,2233.2,5414.6
3768,3,1630,948,ACA,4212.8,2870.7,5524.1
3769,3,1631,957,ACA,4220.8,2793.4,5486.8
3770,3,1632,972,ACA,4191.5,2638.9,5457.5
3772,3,1635,1034,ACA,4051.7,2020.7,5363.0
3778,3,1641,938,ACA,4219.8,2967.3,5553.7
3780,3,1643,934,ACA,4227.1,3005.9,5561.0
3782,3,1645,935,ACA,4249.7,3005.9,5538.4
3784,3,1647,915,ACA,4263.7,3199.1,5597.6
3785,3,1648,1020,ACA,4066.0,2155.9,5400.0
3786,3,1649,1025,ACA,4081.3,2117.3,5370.0
3787,3,1650,944,ACA,4220.1,2909.3,5531.4
3788,3,1651,941,ACA,4250.1,2948.0,5516.1
3796,3,1660,968,ACA,4176.2,2677.5,5487.5
3801,3,1665,981,ACA,4139.2,2542.3,5473.2
3803,3,1667,970,ACA,4161.2,2658.2,5495.1
3804,3,1668,1015,ACA,4111.0,2213.9,5377.0
3808,3,1672,965,ACA,4206.1,2716.2,5472.2
3809,3,1673,991,ACA,4132.3,2445.7,5443.6
3812,3,1676,1026,ACA,4066.4,2098.0,5377.7
3813,3,1677,933,ACA,4264.7,3025.3,5530.8
3814,3,1678,962,ACA,4175.8,2735.5,5509.8
3818,3,1682,1050,ACA,4045.1,1866.1,5311.1
3820,3,1684,1040,ACA,4029.4,1962.7,5363.4
3823,3,1687,1018,ACA,4081.0,2175.2,5392.3
3825,3,1689,931,ACA,4234.4,3044.6,5568.4
3830,3,1695,1031,ACA,4081.7,2059.3,5347.7
3833,3,1698,959,ACA,4205.8,2774.1,5494.5
3834,3,1699,995,ACA,4124.9,2407.1,5436.3
3837,3,1702,1027,ACA,4089.0,2098.0,5355.1
3842,3,1708,1002,ACA,4125.3,2349.1,5414.0
3844,3,1710,936,ACA,4234.7,2986.6,5546.1
3845,3,1711,1050,ACA,4045.1,1866.1,5311.1
3847,3,1713,970,ACA,4161.2,2658.2,5495.1
3848,3,1714,968,ACA,4176.2,2677.5,5487.5
3855,3,1721,1018,ACA,4081.0,2175.2,5392.3
3857,3,1723,1019,ACA,4103.6,2175.2,5369.7
3859,3,1725,942,ACA,4212.5,2928.7,5546.4
3860,3,1726,995,ACA,4124.9,2407.1,5436.3
3864,3,1730,964,ACA,4183.5,2716.2,5494.8
3872,3,1738,1020,ACA,4066.0,2155.9,5400.0
3874,3,1740,1018,ACA,4081.0,2175.2,5392.3
3875,3,1741,1031,ACA,4081.7,2059.3,5347.7
3881,3,1747,974,ACA,4176.5,2619.6,5465.2
3883,3,1749,977,ACA,4146.6,2580.9,5480.5
3884,3,1750,962,ACA,4175.8,2735.5,5509.8
3891,3,1757,992,ACA,4154.9,2445.7,5420.9
3896,3,1762,985,ACA,4131.9,2503.7,5465.9
3898,3,1764,931,ACA,4234.4,3044.6,5568.4
3900,3,1766,974,ACA,4176.5,2619.6,5465.2
3905,3,1772,1012,ACA,4080.7,2233.2,5414.6
3906,3,1773,1024,ACA,4058.7,2117.3,5392.7
3907,3,1774,997,ACA,4110.0,2387.7,5443.9
3913,3,1780,1007,ACA,4125.6,2291.2,5391.7
3914,3,1781,989,ACA,4124.6,2465.0,5458.5
3920,3,1787,1026,ACA,4066.4,2098.0,5377.7
3923,3,1790,990,ACA,4147.2,2465.0,5435.9
3924,3,1791,985,ACA,4131.9,2503.7,5465.9
3926,3,1793,976,ACA,4184.2,2600.3,5450.2
3927,3,1794,950,ACA,4197.8,2851.4,5531.8
3928,3,1795,979,ACA,4154.2,2561.6,5465.5
3933,3,1801,976,ACA,4184.2,2600.3,5450.2
3937,3,1805,991,ACA,4132.3,2445.7,5443.6
3938,3,1806,935,ACA,4249.7,3005.9,5538.4
3939,3,1807,984,ACA,4169.5,2523.0,5435.6
3942,3,1811,958,ACA,4183.2,2774.1,5517.1
3946,3,1815,992,ACA,4154.9,2445.7,5420.9
3951,3,1821,942,ACA,4212.5,2928.7,5546.4
3954,3,1824,1028,ACA,4051.4,2078.7,5385.3
3956,3,1826,940,ACA,4227.4,2948.0,5538.7
3958,3,1828,1057,ACA,4007.8,1788.9,5319.1
3959,3,1829,1031,ACA,4081.7,2059.3,5347.7
3967,3,1838,1039,ACA,4067.0,1982.1,5333.1
3968,3,1839,962,ACA,4175.8,2735.5,5509.8
3975,3,1846,1011,ACA,4118.3,2252.5,5384.3
3978,3,1850,977,ACA,4146.6,2580.9,5480.5
3980,3,1852,993,ACA,4117.3,2426.4,5451.2
3984,3,1856,1025,ACA,4081.3,2117.3,5370.0
3985,3,1857,1026,ACA,4066.4,2098.0,5377.7
3993,3,1865,938,ACA,4219.8,2967.3,5553.7
3994,3,1866,961,ACA,4213.5,2754.8,5479.5
3999,3,1871,1016,ACA,4073.4,2194.6,5407.3
4007,3,1879,954,ACA,4190.5,2812.8,5524.4
4008,3,1880,950,ACA,4197.8,2851.4,5531.8
4011,3,1883,1012,ACA,4080.7,2233.2,5414.6
4014,3,1886,990,ACA,4147.2,2465.0,5435.9
4015,3,1887,989,ACA,4124.6,2465.0,5458.5
4018,3,1891,1034,ACA,4051.7,2020.7,5363.0
4019,3,1892,1004,ACA,4132.9,2329.8,5399.0
4023,3,1896,933,ACA,4264.7,3025.3,5530.8
4026,3,1899,1035,ACA,4074.4,2020.7,5340.4
4027,3,1900,974,ACA,4176.5,2619.6,5465.2
4029,3,1902,1018,ACA,4081.0,2175.2,5392.3
4033,3,1906,976,ACA,4184.2,2600.3,5450.2
4036,3,1909,1038,ACA,4044.4,1982.1,5355.7
4037,3,1910,953,ACA,4228.1,2832.1,5494.2
4038,3,1911,985,ACA,4131.9,2503.7,5465.9
4039,3,1913,1028,ACA,4051.4,2078.7,5385.3
4041,3,1915,977,ACA,4146.6,2580.9,5480.5
4046,3,1920,1050,ACA,4045.1,1866.1,5311.1
4049,3,1923,969,ACA,4198.8,2677.5,5464.9
4055,3,1929,981,ACA,4139.2,2542.3,5473.2
4056,3,1930,942,ACA,4212.5,2928.7,5546.4
4057,3,1931,1010,ACA,4095.7,2252.5,5407.0
4058,3,1933,938,ACA,4219.8,2967.3,5553.7
4066,3,1941,1043,ACA,4059.7,1943.4,5325.8
4068,3,1943,942,ACA,4212.5,2928.7,5546.4
4072,3,1949,954,ACA,4190.5,2812.8,5524.4
4076,3,1953,1028,ACA,4051.4,2078.7,5385.3
4079,3,1956,976,ACA,4184.2,2600.3,5450.2
4081,3,1959,1029,ACA,4074.0,2078.7,5362.7
4082,3,1960,977,ACA,4146.6,2580.9,5480.5
4084,3,1962,1051,ACA,4007.5,1846.8,5341.4
4086,3,1964,965,ACA,4206.1,2716.2,5472.2
4093,3,1972,974,ACA,4176.5,2619.6,5465.2
4098,3,1977,1027,ACA,4089.0,2098.0,5355.1
4101,3,1980,997,ACA,4110.0,2387.7,5443.9
4102,3,1981,978,ACA,4169.2,2580.9,5457.9
4104,3,1983,1025,ACA,4081.3,2117.3,5370.0
4107,3,1986,1052,ACA,4030.1,1846.8,5318.8
4109,3,1988,954,ACA,4190.5,2812.8,5524.4
4110,3,1989,992,ACA,4154.9,2445.7,5420.9
4113,3,1992,949,ACA,4235.4,2870.7,5501.5
4114,3,1993,946,ACA,4205.1,2890.0,5539.1
4121,3,2000,933,ACA,4264.7,3025.3,5530.8
4122,3,2001,1008,ACA,4088.0,2271.8,5421.9
4126,3,2005,1028,ACA,4051.4,2078.7,5385.3
4129,3,2008,978,ACA,4169.2,2580.9,5457.9
4130,3,2009,989,ACA,4124.6,2465.0,5458.5
4132,3,2011,1016,ACA,4073.4,2194.6,5407.3
